1,2,3,,,county,travel_mode,sum
Livingston County,Other travel mode,6,,,,,
Monroe County, Drove alone,19,,,,,
Monroe County,Public transportation,2,,,,,
Monroe County,Other travel mode,52,,,,,
Nassau County, Drove alone,5365,,,,,
Nassau County, Carpooled,449,,,,,
Nassau County,Public transportation,597,,,,,
Nassau County,Other travel mode,36,,,,,
Nassau County, Drove alone,57107,,,,,
Nassau County, Carpooled,6898,,,,,
Nassau County,Public transportation,6254,,,,,
Nassau County,Other travel mode,705,,,,,
New York County, Drove alone,27,,,,,
New York County,Other travel mode,28,,,,,
New York County, Drove alone,8,,,,,
New York County,Public transportation,76,,,,,
New York County,Other travel mode,125,,,,,
New York County, Drove alone,112,,,,,
New York County, Drove alone,5197,,,,,
New York County, Carpooled,1363,,,,,
New York County,Public transportation,19363,,,,,
New York County,Other travel mode,1915,,,,,
New York County, Drove alone,4051,,,,,
New York County, Carpooled,878,,,,,
New York County,Public transportation,16304,,,,,
New York County,Other travel mode,813,,,,,
Onondaga County, Drove alone,7,,,,,
Onondaga County,Other travel mode,23,,,,,
Ontario County, Drove alone,4,,,,,
Ontario County,Public transportation,15,,,,,
Orange County, Drove alone,3278,,,,,
Orange County, Carpooled,939,,,,,
Orange County,Public transportation,148,,,,,
Orange County,Other travel mode,15,,,,,
Orange County, Drove alone,1023,,,,,
Orange County, Carpooled,119,,,,,
Orange County,Public transportation,145,,,,,
Putnam County, Drove alone,1852,,,,,
Putnam County, Carpooled,265,,,,,
Putnam County,Public transportation,97,,,,,
Putnam County, Drove alone,340,,,,,
Putnam County, Carpooled,27,,,,,
Putnam County,Public transportation,57,,,,,
Queens County, Drove alone,6,,,,,
Queens County, Carpooled,5,,,,,
Queens County,Other travel mode,8,,,,,
Queens County, Drove alone,10671,,,,,
Queens County, Carpooled,2063,,,,,
Queens County,Public transportation,8499,,,,,
Queens County,Other travel mode,334,,,,,
Queens County, Drove alone,169159,,,,,
Queens County, Carpooled,30754,,,,,
Queens County,Public transportation,152536,,,,,
Queens County,Other travel mode,88951,,,,,
