State FIPS,R County FIPS Code,R State Name,R County,R Metropolitan Statistical Area FIPS Code,R  Metropolitan Statistical Area of County,State FIPS Code,County FIPS Code,State Name,County,Metropolitan Statistical Area FIPS Code,Metropolitan Statistical Area of County,travel_mode,workers_in
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,55,California,Napa,34900,"Napa, CA", Drove alone,51
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,125
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,99
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,48
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,16
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,390
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Public transportation,63
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Other travel mode,16
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Drove alone,63
6,19,California,Fresno County,23420,"Fresno, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,203
6,19,California,Fresno County,23420,"Fresno, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,17
6,19,California,Fresno County,23420,"Fresno, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,8
6,19,California,Fresno County,23420,"Fresno, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,19
6,19,California,Fresno County,23420,"Fresno, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,20
6,19,California,Fresno County,23420,"Fresno, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,16
6,19,California,Fresno County,23420,"Fresno, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,10
6,19,California,Fresno County,23420,"Fresno, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,28
6,19,California,Fresno County,23420,"Fresno, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,28
6,19,California,Fresno County,23420,"Fresno, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,329
6,19,California,Fresno County,23420,"Fresno, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,64
6,19,California,Fresno County,23420,"Fresno, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Other travel mode,51
6,29,California,Kern County,12540,"Bakersfield, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,83
6,29,California,Kern County,12540,"Bakersfield, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,7
6,29,California,Kern County,12540,"Bakersfield, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,25
6,29,California,Kern County,12540,"Bakersfield, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,26
6,29,California,Kern County,12540,"Bakersfield, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,72
6,29,California,Kern County,12540,"Bakersfield, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,22
6,31,California,Kings County,25260,"Hanford-Corcoran, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,19
6,31,California,Kings County,25260,"Hanford-Corcoran, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,44
6,31,California,Kings County,25260,"Hanford-Corcoran, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,28
6,31,California,Kings County,25260,"Hanford-Corcoran, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,48
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,579
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,79
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,68
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,187
